School_ID,State,Year,Subject,ISBN
3,VIC,7,COMPUTER SCIENCE,9780170411813
3,VIC,7,LANGUAGES,9780170393720
4,VIC,7,LANGUAGES,9781876209520
4,VIC,7,LANGUAGES,9781876209513
4,VIC,7,ENGLISH,9781481486767
5,VIC,7,ENGLISH,9781742619910
5,VIC,7,LANGUAGES,9781876739072
5,VIC,7,COMPUTER SCIENCE,9781118948477
5,VIC,7,MATHEMATICS,9780190308285
5,VIC,7,MATHEMATICS,9780190308322
7,VIC,7,ENGLISH,9780141359410
7,VIC,7,ENGLISH,9781907127281
10,VIC,7,MATHEMATICS,9781108772631
10,VIC,7,ENGLISH,9780007141425
10,VIC,7,LANGUAGES,9780932416353
10,VIC,7,HUMANITIES,9780730372837
10,VIC,7,MUSIC,9781785583575
10,VIC,7,ENGLISH,9781441175410
10,VIC,7,ENGLISH,9780730362616
10,VIC,7,LANGUAGES,9780198603276
10,VIC,7,LANGUAGES,9780732979966
10,VIC,7,LANGUAGES,9789607914385
10,VIC,7,SCIENCE,9780730348573
10,VIC,7,LANGUAGES,9780730389422
6,VIC,7,ENGLISH,9780730382133
6,VIC,7,ENGLISH,9780380807345
6,VIC,7,SCIENCE,9780190306861
6,VIC,7,SCIENCE,9780190306861
6,VIC,7,MATHEMATICS,9781108772631
6,VIC,7,SCIENCE,9780975835807
6,VIC,7,MATHEMATICS,9781108772716
6,VIC,7,ENGLISH,9780435121006
6,VIC,7,ENGLISH,9781458650412
6,VIC,7,SCIENCE,9798708474995
6,VIC,7,ENGLISH,9780140366204
11,QLD,7,ENGLISH,9780987215925
11,QLD,7,ENGLISH,9780195528046
13,NT,7,ENGLISH,9781488610622
18,VIC,7,ENGLISH,9780143202837
18,VIC,7,ENGLISH,9780195505375
18,VIC,7,ENGLISH,9781458650412
18,VIC,7,MATHEMATICS,9781108772631
27,ACT,7,SCIENCE,9781488615054
27,ACT,7,ENGLISH,9780440229087
27,ACT,7,HISTORY,9781486053612
29,QLD,7,ENGLISH,9780190308674
29,QLD,7,LANGUAGES,9780170129657
37,NT,7,SCIENCE,9781488615054
37,NT,7,ENGLISH,9781406339345
37,NT,7,ENGLISH,9780190308698
37,NT,7,HUMANITIES,9780195590197
37,NT,7,MATHEMATICS,9781108772631
38,NSW,7,ENGLISH,9780194038355
38,NSW,7,ENGLISH,9781921228926
38,NSW,7,MATHEMATICS,9789264265080
39,TAS,7,RELIGIOUS EDUCATION,9781599822211
40,NT,7,ENGLISH,9781925360707
40,NT,7,PDHPE,9781925487534
40,NT,7,LANGUAGES,9781488624001
40,NT,7,ENGLISH,9780195528046
40,NT,7,ENGLISH,9780195528046
2,VIC,8,SCIENCE,9781488615061
2,VIC,8,ENGLISH,9780763676797
2,VIC,8,LANGUAGES,9780060787325
2,VIC,8,ENGLISH,9781458650498
2,VIC,8,LANGUAGES,9781488617492
2,VIC,8,ENGLISH,9780190319342
2,VIC,8,HOME ECONOMICS,9781474459907
